timestamp,date,time,forward_energy_total_kwh,hour,day_of_week,unix_timestamp
2025-07-12 00:43:26 UTC,2025-07-12,00:43:26,478.25,0,Saturday,1752281006
2025-07-12 02:46:57 UTC,2025-07-12,02:46:57,478.37,2,Saturday,1752288417
2025-07-12 03:47:00 UTC,2025-07-12,03:47:00,478.42,3,Saturday,1752292020
2025-07-12 04:21:07 UTC,2025-07-12,04:21:07,478.45,4,Saturday,1752294067
2025-07-12 05:09:58 UTC,2025-07-12,05:09:58,478.47,5,Saturday,1752296998
2025-07-12 06:11:44 UTC,2025-07-12,06:11:44,478.5,6,Saturday,1752300704
2025-07-12 07:09:23 UTC,2025-07-12,07:09:23,478.54,7,Saturday,1752304163
2025-07-12 08:10:27 UTC,2025-07-12,08:10:27,478.76,8,Saturday,1752307827
2025-07-12 09:00:50 UTC,2025-07-12,09:00:50,478.81,9,Saturday,1752310850
2025-07-12 10:08:06 UTC,2025-07-12,10:08:06,478.87,10,Saturday,1752314886
2025-07-12 11:00:58 UTC,2025-07-12,11:00:58,478.92,11,Saturday,1752318058
2025-07-12 12:13:59 UTC,2025-07-12,12:13:59,478.97,12,Saturday,1752322439
2025-07-12 13:20:13 UTC,2025-07-12,13:20:13,479.01,13,Saturday,1752326413
2025-07-12 14:00:58 UTC,2025-07-12,14:00:58,479.05,14,Saturday,1752328858
